folioviv,foliohog,ubica_geo,ageb,tam_loc,est_socio,est_dis,upm,factor_hog,ing_cor,gasto_mon,,
11001,0,10010001,081-6,1,3,11,50,1537,31548.9,36825.18,48490659.3," 1,199,245,100,452.60 "
11002,0,10010001,081-6,1,3,11,50,1537,34186.15,25176.15,52544112.55," 31,559,379.00 "
11003,0,10010001,081-6,1,3,11,50,1537,148123.88,98327.65,227666403.6,
11004,0,10010001,081-6,1,3,11,50,1537,45438.94,26118.72,69839650.78,
11005,0,10010001,081-6,1,3,11,50,1537,55309.45,51310.32,85010624.65,
11006,0,10010001,232-9,1,3,11,140,1215,7405.42,9381.13,8997585.3,
11007,0,10010001,232-9,1,3,11,140,1215,9164.08,12421.55,11134357.2,
11008,0,10010001,232-9,1,3,11,140,1215,23326.61,19677.38,28341831.15,
11009,0,10010001,232-9,1,3,11,140,1215,29059.21,47420.21,35306940.15,
11010,0,10010001,232-9,1,3,11,140,1215,45155.07,27634.53,54863410.05,
11011,0,10010001,221-0,1,2,11,230,1726,83810.13,67180.33,144656284.4,
11013,0,10010001,221-0,1,2,11,230,1726,26856.41,21765.25,46354163.66,
11014,0,10010001,221-0,1,2,11,230,1726,62661.43,38488.77,108153628.2,
11015,0,10010001,221-0,1,2,11,230,1726,61372.87,28201.89,105929573.6,
11016,0,10020025,001-4,4,2,14,320,775,14040.36,11428.08,10881279,
11017,0,10020025,001-4,4,2,14,320,775,13322.78,10249.17,10325154.5,
11018,0,10020025,001-4,4,2,14,320,775,16873.04,3424.27,13076606,
11019,0,10020025,001-4,4,2,14,320,775,31572.65,37661.73,24468803.75,
11020,0,10020025,001-4,4,2,14,320,775,5401.12,3471.94,4185868,
11021,0,10020025,001-4,4,2,14,320,775,5310.21,1577.8,4115412.75,
11022,0,10020025,001-4,4,2,14,320,775,22262.99,20480.84,17253817.25,
11023,0,10020025,001-4,4,2,14,320,775,26128.54,22358.55,20249618.5,
11024,0,10020025,001-4,4,2,14,320,775,1451.61,22207.69,1124997.75,
11025,0,10020025,001-4,4,2,14,320,775,7908.12,7182.84,6128793,
11026,0,10030001,015-3,2,2,12,300,838,38282.32,21129.14,32080584.16,
11027,0,10030001,022-3,2,2,12,300,838,4768.89,7118.63,3996329.82,
11028,0,10030001,015-3,2,2,12,300,838,41121.64,19178.91,34459934.32,
11029,0,10030001,015-3,2,2,12,300,838,22304.33,16885.25,18691028.54,
11030,0,10030001,015-3,2,2,12,300,838,46613.99,13556,39062523.62,
11031,0,10100107,006-9,4,2,14,360,683,18596.16,7570.43,12701177.28,
11032,0,10100107,006-9,4,2,14,360,683,8381.47,5229.55,5724544.01,
11033,0,10100107,006-9,4,2,14,360,683,7867.87,8878.76,5373755.21,
11034,0,10100107,006-9,4,2,14,360,683,46557.23,33909.92,31798588.09,
11035,0,10100107,006-9,4,2,14,360,683,4549.19,7689.82,3107096.77,
11036,0,10100107,006-9,4,2,14,360,683,36963.42,35017.16,25246015.86,
11037,0,10100107,006-9,4,2,14,360,683,22399.94,14021.27,15299159.02,
11038,0,10100107,006-9,4,2,14,360,683,47294.24,27972.79,32301965.92,
11039,0,10100107,006-9,4,2,14,360,683,13572.57,11801.7,9270065.31,
12002,0,10010001,268-7,1,3,11,90,1667,18396.61,24017.96,30667148.87,
12004,0,10010001,268-7,1,3,11,90,1667,19482.55,24796.3,32477410.85,
12005,0,10010001,268-7,1,3,11,90,1667,40940.49,19801.98,68247796.83,
12006,0,10010001,285-0,1,2,11,180,1578,37485.93,25810.31,59152797.54,
12007,0,10010001,285-0,1,2,11,180,1578,38199.64,26664.58,60279031.92,
12008,0,10010001,285-0,1,2,11,180,1578,33102.38,19257.3,52235555.64,
12009,0,10010001,285-0,1,2,11,180,1578,41137.68,42292.54,64915259.04,
12010,0,10010001,285-0,1,2,11,180,1578,22071.15,15855.84,34828274.7,
12011,0,10010001,204-7,1,2,11,270,1592,11995.15,7195.51,19096278.8,
12012,0,10010001,204-7,1,2,11,270,1592,51913.44,39863.84,82646196.48,
12013,0,10010001,204-7,1,2,11,270,1592,38505.59,15690.43,61300899.28,
12014,0,10010001,204-7,1,2,11,270,1592,22522,26702.44,35855024,
12016,0,10030079,008-3,4,2,14,340,511,18912.08,13415.37,9664072.88,
12017,0,10030079,008-3,4,2,14,340,511,39807.11,27223.22,20341433.21,
12019,0,10030079,008-3,4,2,14,340,511,26901.99,25028.72,13746916.89,
12020,0,10030079,008-3,4,2,14,340,511,6122.37,1966.15,3128531.07,
12021,0,10030079,008-3,4,2,14,340,511,21756.82,43519.09,11117735.02,
12022,0,10030079,008-3,4,2,14,340,511,6678.98,5787.84,3412958.78,
12023,0,10030079,008-3,4,2,14,340,511,12638.32,10746.19,6458181.52,
12024,0,10030079,008-3,4,2,14,340,511,13964.59,7687.28,7135905.49,
12025,0,10030079,008-3,4,2,14,340,511,30804.36,12417.04,15741027.96,
12026,0,10050041,039-3,3,2,13,310,825,45832.23,33824.59,37811589.75,
12027,0,10050041,039-3,3,2,13,310,825,12554.41,29538.67,10357388.25,
12028,0,10050041,039-3,3,2,13,310,825,31557.87,37430.58,26035242.75,
12029,0,10050041,039-3,3,2,13,310,825,13198.93,8518.25,10889117.25,
12030,0,10050041,039-3,3,2,13,310,825,10162.83,25921.35,8384334.75,
13001,0,10010001,259-8,1,3,11,60,1761,21860.62,40628.49,38496551.82,
13002,0,10010001,259-8,1,3,11,60,1761,16011.86,8697.24,28196885.46,
13003,0,10010001,259-8,1,3,11,60,1761,30792.99,21847.06,54226455.39,
13004,0,10010001,259-8,1,3,11,60,1761,26753.31,18446.13,47112578.91,
13005,0,10010001,259-8,1,3,11,60,1761,46069.74,75630.88,81128812.14,
13006,0,10010001,091-A,1,3,11,150,1322,14589.54,4054.07,19287371.88,
13007,0,10010001,091-A,1,3,11,150,1322,71045.51,26434.31,93922164.22,
13008,0,10010001,091-A,1,3,11,150,1322,29530.84,19749.2,39039770.48,
13009,0,10010001,091-A,1,3,11,150,1322,97013.48,103149.68,128251820.6,
13010,0,10010001,091-A,1,3,11,150,1322,24866.75,40913.23,32873843.5,
13011,0,10010001,270-4,1,3,11,240,2565,33809.94,58619.41,86722496.1,
13013,0,10010001,270-4,1,3,11,240,2565,23499.37,20500.1,60275884.05,
13014,0,10010001,270-4,1,3,11,240,2565,33849.38,25636.67,86823659.7,
13015,0,10010001,270-4,1,3,11,240,2565,4544.6,728.27,11656899,
13016,0,10020025,001-4,4,2,14,320,775,16360.26,26488.74,12679201.5,
13017,0,10020025,001-4,4,2,14,320,775,9688.88,22881.26,7508882,
13018,0,10020025,001-4,4,2,14,320,775,13485.92,12662.96,10451588,
13019,0,10020025,001-4,4,2,14,320,775,14796.42,11340.31,11467225.5,
13020,0,10020025,001-4,4,2,14,320,775,8009.11,3411.28,6207060.25,
13021,0,10020025,001-4,4,2,14,320,775,79549.95,53963.88,61651211.25,
13022,0,10020025,001-4,4,2,14,320,775,18075.27,17149.87,14008334.25,
13023,0,10020025,001-4,4,2,14,320,775,15019.92,24578.9,11640438,
13024,0,10020025,001-4,4,2,14,320,775,22543.11,24951.83,17470910.25,
13025,0,10020025,001-4,4,2,14,320,775,43262.7,34779.85,33528592.5,
13026,0,10050041,039-3,3,2,13,310,825,8015.6,12463.63,6612870,
13027,0,10050041,039-3,3,2,13,310,825,29469.31,22379.68,24312180.75,
13028,0,10050041,039-3,3,2,13,310,825,7898.33,4159.66,6516122.25,
13029,0,10050041,039-3,3,2,13,310,825,41714.58,28699.4,34414528.5,
13030,0,10050041,039-3,3,2,13,310,825,47018.43,36278.11,38790204.75,
14001,0,10010001,316-8,1,2,11,10,1938,20653.55,4254.91,40026579.9,
14002,0,10010001,316-8,1,2,11,10,1938,18219.86,7704.97,35310088.68,
14004,0,10010001,316-8,1,2,11,10,1938,56300.91,37161.83,109111163.6,
14006,0,10010001,390-A,1,4,11,100,1723,26123.1,9375.28,45010101.3,
14007,0,10010001,390-A,1,4,11,100,1723,44955,9621.51,77457465,
14008,0,10010001,391-4,1,4,11,100,1723,127721.31,26876.71,220063817.1,
14009,0,10010001,391-4,1,4,11,100,1723,113044.46,37231.62,194775604.6,
14010,0,10010001,390-A,1,4,11,100,1723,84097.63,90247.18,144900216.5,
14011,0,10010001,227-8,1,2,11,190,5189,113861.58,32316.72,590827738.6,
14012,0,10010001,227-8,1,2,11,190,5189,15451.21,6850.57,80176328.69,
14016,0,10010001,038-A,1,2,11,280,1297,42575.74,22401.27,55220734.78,
14017,0,10010001,038-A,1,2,11,280,1297,51063.92,18441.85,66229904.24,
14018,0,10010001,038-A,1,2,11,280,1297,42850.78,19138.99,55577461.66,
14020,0,10010001,038-A,1,2,11,280,1297,22224.91,15731.12,28825708.27,
14021,0,10030079,008-3,4,2,14,340,511,29039.16,18170.49,14839010.76,
14022,0,10030079,008-3,4,2,14,340,511,29626.87,20485.64,15139330.57,
14023,0,10030079,008-3,4,2,14,340,511,7394.91,127.5,3778799.01,
14024,0,10030079,008-3,4,2,14,340,511,16533.42,11817.12,8448577.62,
14025,0,10030079,008-3,4,2,14,340,511,12872.93,10542.41,6578067.23,
14026,0,10030079,008-3,4,2,14,340,511,21269.49,21225.18,10868709.39,
14027,0,10030079,008-3,4,2,14,340,511,13842.28,13920.9,7073405.08,
14028,0,10030079,008-3,4,2,14,340,511,3598.57,5565.05,1838869.27,
14029,0,10030079,008-3,4,2,14,340,511,24791.75,20492.88,12668584.25,
14030,0,10030079,008-3,4,2,14,340,511,6622.04,5986.42,3383862.44,
14031,0,10030079,008-3,4,2,14,340,511,16307.62,14367.76,8333193.82,
14032,0,10070030,016-7,3,2,13,290,1033,21688.29,7663.16,22404003.57,
14033,0,10070030,016-7,3,2,13,290,1033,6294.3,1097.82,6502011.9,
14035,0,10070030,016-7,3,2,13,290,1033,63358.95,17339.91,65449795.35,
15001,0,10010001,238-6,1,4,11,120,3580,29823.89,3042.85,106769526.2,
15003,0,10010001,238-6,1,4,11,120,3580,91536.34,54881.65,327700097.2,
15006,0,10010001,205-1,1,3,11,210,1207,17040.97,16365.91,20568450.79,
15007,0,10010001,205-1,1,3,11,210,1207,33155.87,28613.86,40019135.09,
15008,0,10010001,205-1,1,3,11,210,1207,140837.64,52074.96,169991031.5,
15009,0,10010001,205-1,1,3,11,210,1207,26488.5,11992.14,31971619.5,
15011,0,10020087,005-2,4,2,14,350,690,12478.72,4936.67,8610316.8,
15012,0,10020087,005-2,4,2,14,350,690,20460.38,8477.54,14117662.2,
15013,0,10020087,005-2,4,2,14,350,690,12312.61,15232.34,8495700.9,
15014,0,10020087,005-2,4,2,14,350,690,18561.22,9608.46,12807241.8,
15015,0,10020087,005-2,4,2,14,350,690,29167.39,9253.67,20125499.1,
15016,0,10020087,005-2,4,2,14,350,690,13307.48,3233.87,9182161.2,
15017,0,10020087,005-2,4,2,14,350,690,22074.68,10926.81,15231529.2,
15018,0,10020087,005-2,4,2,14,350,690,35589.67,8067.41,24556872.3,
15019,0,10020087,005-2,4,2,14,350,690,27018.93,11377.27,18643061.7,
15020,0,10020087,005-2,4,2,14,350,690,26320.58,13842.84,18161200.2,
15021,0,10020087,005-2,4,2,14,350,690,20516.93,12034.62,14156681.7,
15023,0,10030001,015-3,2,2,12,300,838,27226.19,30106.06,22815547.22,
15024,0,10030001,015-3,2,2,12,300,838,25204.86,11364.11,21121672.68,
15025,0,10030001,022-3,2,2,12,300,838,27899.99,6664.38,23380191.62,
15026,0,10030001,022-3,2,2,12,300,838,14975.39,9050.54,12549376.82,
15027,0,10050001,037-4,2,3,12,30,1146,70714.21,47103.09,81038484.66,
15028,0,10050001,037-4,2,3,12,30,1146,62166.35,26957.43,71242637.1,
15029,0,10050001,037-4,2,3,12,30,1146,119669.73,37787.62,137141510.6,
15030,0,10050001,037-4,2,3,12,30,1146,37341.13,10659.84,42792934.98,
15032,0,10070030,014-8,3,2,13,290,1033,24236.06,27461.25,25035849.98,
15033,0,10070030,014-8,3,2,13,290,1033,17312.97,5805,17884298.01,
15034,0,10070030,014-8,3,2,13,290,1033,18701.26,9947.45,19318401.58,
15035,0,10070030,014-8,3,2,13,290,1033,33780.22,23644.56,34894967.26,
15036,0,10070030,016-7,3,2,13,290,1033,25141.63,16997.33,25971303.79,
16002,0,10010001,257-9,1,2,11,20,1428,26272.11,24161.87,37516573.08,
16003,0,10010001,257-9,1,2,11,20,1428,9434.49,7647.28,13472451.72,
16004,0,10010001,257-9,1,2,11,20,1428,44252.41,23457.26,63192441.48,
16005,0,10010001,257-9,1,2,11,20,1428,34805.77,20482.02,49702639.56,
16006,0,10010001,201-3,1,4,11,110,1740,71016.39,20697.99,123568518.6,
16007,0,10010001,201-3,1,4,11,110,1740,106991.75,43262.62,186165645,
16008,0,10010001,201-3,1,4,11,110,1740,42122.87,25256.09,73293793.8,
16009,0,10010001,201-3,1,4,11,110,1740,108595.05,48251.46,188955387,
16010,0,10010001,201-3,1,4,11,110,1740,114442.61,86133.2,199130141.4,
